Starting data and time	Friday 03 September 2021 (11:56:36)
Ending date and time	Friday 03 September 2021 (11:56:43)
Time consumed	0 hours, 0 minutes, and 6 seconds
Number of datasets	1
Total number of input genes	2863
Genes included in the analysis	2863
Genes filtered out from the analysis	0
Number of clusters	5
Total number of genes in clusters	1075
Genes not included in any cluster	1788
Min cluster size	91
Max cluster size	341
Average cluster size	215.0
Number of samples (including replicates)	25
Number of conditions	4
