Starting data and time	Thursday 24 June 2021 (15:50:20)
Ending date and time	Thursday 24 June 2021 (15:50:29)
Time consumed	0 hours, 0 minutes, and 8 seconds
Number of datasets	1
Total number of input genes	2886
Genes included in the analysis	2885
Genes filtered out from the analysis	1
Number of clusters	6
Total number of genes in clusters	948
Genes not included in any cluster	1937
Min cluster size	37
Max cluster size	355
Average cluster size	158.0
Number of samples (including replicates)	28
Number of conditions	8
