Starting data and time	Friday 28 April 2023 (13:27:34)
Ending date and time	Friday 28 April 2023 (13:27:44)
Time consumed	0 hours, 0 minutes, and 10 seconds
Number of datasets	1
Total number of input genes	1925
Genes included in the analysis	1924
Genes filtered out from the analysis	1
Number of clusters	8
Total number of genes in clusters	1067
Genes not included in any cluster	857
Min cluster size	58
Max cluster size	288
Average cluster size	133.375
Number of samples (including replicates)	28
Number of conditions	4
